productID,storeID,quantile_level,mean_quantile_loss,hp_type
2628,4,0.5,0.05244755244755245,100_new_2
2628,4,0.7,0.07342657342657342,100_new_2
2628,4,0.9,0.08951048951048947,100_new_2
2628,4,0.95,0.04475524475524478,100_new_2
2628,4,0.99,0.01895104895104897,100_new_2
286,7,0.5,0.13286713286713286,100_new_2
286,7,0.7,0.22797202797202798,100_new_2
286,7,0.9,0.1587412587412587,100_new_2
286,7,0.95,0.10664335664335665,100_new_2
286,7,0.99,0.034335664335664366,100_new_2
397,1,0.5,0.4195804195804196,100_new_2
397,1,0.7,0.39230769230769225,100_new_2
397,1,0.9,0.21258741258741257,100_new_2
397,1,0.95,0.12832167832167843,100_new_2
397,1,0.99,0.03146853146853149,100_new_2
2293,7,0.5,1.7272727272727273,100_new_2
2293,7,0.7,1.667832167832168,100_new_2
2293,7,0.9,1.0545454545454547,100_new_2
2293,7,0.95,0.7048951048951052,100_new_2
2293,7,0.99,0.18699300699300714,100_new_2
2950,1,0.5,0.055944055944055944,100_new_2
2950,1,0.7,0.08601398601398601,100_new_2
2950,1,0.9,0.08881118881118878,100_new_2
2950,1,0.95,0.04440559440559443,100_new_2
2950,1,0.99,0.0188811188811189,100_new_2
291,7,0.5,0.13636363636363635,100_new_2
291,7,0.7,0.1909090909090909,100_new_2
291,7,0.9,0.13566433566433567,100_new_2
291,7,0.95,0.10734265734265741,100_new_2
291,7,0.99,0.034265734265734295,100_new_2
408,9,0.5,1.1643356643356644,100_new_2
408,9,0.7,1.0545454545454547,100_new_2
408,9,0.9,0.8125874125874125,100_new_2
408,9,0.95,0.5447552447552451,100_new_2
408,9,0.99,0.2073426573426576,100_new_2
1692,7,0.5,0.7902097902097902,100_new_2
1692,7,0.7,0.7181818181818183,100_new_2
1692,7,0.9,0.4216783216783217,100_new_2
1692,7,0.95,0.266783216783217,100_new_2
1692,7,0.99,0.1581818181818183,100_new_2
2714,7,0.5,1.5769230769230769,100_new_2
2714,7,0.7,1.59020979020979,100_new_2
2714,7,0.9,0.9755244755244753,100_new_2
2714,7,0.95,0.6632867132867135,100_new_2
2714,7,0.99,0.2733566433566435,100_new_2
1939,1,0.5,0.32167832167832167,100_new_2
1939,1,0.7,0.3314685314685315,100_new_2
1939,1,0.9,0.20979020979020976,100_new_2
1939,1,0.95,0.12972027972027977,100_new_2
1939,1,0.99,0.05412587412587416,100_new_2
2346,6,0.5,0.6118881118881119,100_new_2
2346,6,0.7,0.5783216783216782,100_new_2
2346,6,0.9,0.29650349650349644,100_new_2
2346,6,0.95,0.18251748251748262,100_new_2
2346,6,0.99,0.0540559440559441,100_new_2
3013,1,0.5,0.34965034965034963,100_new_2
3013,1,0.7,0.32097902097902103,100_new_2
3013,1,0.9,0.2363636363636364,100_new_2
3013,1,0.95,0.23776223776223795,100_new_2
3013,1,0.99,0.09867132867132876,100_new_2
2820,6,0.5,0.4405594405594406,100_new_2
2820,6,0.7,0.4447552447552448,100_new_2
2820,6,0.9,0.24125874125874122,100_new_2
2820,6,0.95,0.16958041958041972,100_new_2
2820,6,0.99,0.05832167832167837,100_new_2
2166,7,0.5,0.6713286713286714,100_new_2
2166,7,0.7,0.9034965034965035,100_new_2
2166,7,0.9,0.5979020979020979,100_new_2
2166,7,0.95,0.39125874125874144,100_new_2
2166,7,0.99,0.10552447552447562,100_new_2
635,7,0.5,1.9475524475524475,100_new_2
635,7,0.7,1.790909090909091,100_new_2
635,7,0.9,1.1307692307692307,100_new_2
635,7,0.95,0.8856643356643358,100_new_2
635,7,0.99,0.6052447552447553,100_new_2
387,7,0.5,0.04895104895104895,100_new_2
387,7,0.7,0.14545454545454545,100_new_2
387,7,0.9,0.09720279720279716,100_new_2
387,7,0.95,0.09510489510489517,100_new_2
387,7,0.99,0.01902097902097904,100_new_2
2825,1,0.5,0.6083916083916084,100_new_2
2825,1,0.7,0.5650349650349651,100_new_2
2825,1,0.9,0.2748251748251748,100_new_2
2825,1,0.95,0.17342657342657353,100_new_2
2825,1,0.99,0.05048951048951053,100_new_2
2305,2,0.5,0.05244755244755245,100_new_2
2305,2,0.7,0.07342657342657341,100_new_2
2305,2,0.9,0.09650349650349647,100_new_2
2305,2,0.95,0.051748251748251775,100_new_2
2305,2,0.99,0.01895104895104897,100_new_2
1491,7,0.5,0.17832167832167833,100_new_2
1491,7,0.7,0.24965034965034963,100_new_2
1491,7,0.9,0.13426573426573424,100_new_2
1491,7,0.95,0.08216783216783223,100_new_2
1491,7,0.99,0.026433566433566456,100_new_2
157,7,0.5,0.4405594405594406,100_new_2
157,7,0.7,0.43146853146853154,100_new_2
157,7,0.9,0.2594405594405594,100_new_2
157,7,0.95,0.16678321678321692,100_new_2
157,7,0.99,0.051958041958042,100_new_2
1536,7,0.5,0.1258741258741259,100_new_2
1536,7,0.7,0.18811188811188811,100_new_2
1536,7,0.9,0.11118881118881116,100_new_2
1536,7,0.95,0.09510489510489517,100_new_2
1536,7,0.99,0.027622377622377656,100_new_2
2529,1,0.5,0.013986013986013986,100_new_2
2529,1,0.7,0.01958041958041958,100_new_2
2529,1,0.9,0.025174825174825177,100_new_2
2529,1,0.95,0.02657342657342657,100_new_2
2529,1,0.99,0.009720279720279728,100_new_2
329,7,0.5,0.3146853146853147,100_new_2
329,7,0.7,0.2874125874125874,100_new_2
329,7,0.9,0.17972027972027965,100_new_2
329,7,0.95,0.10384615384615391,100_new_2
329,7,0.99,0.025174825174825197,100_new_2
1829,7,0.5,0.06993006993006994,100_new_2
1829,7,0.7,0.13986013986013987,100_new_2
1829,7,0.9,0.14195804195804193,100_new_2
1829,7,0.95,0.10699300699300705,100_new_2
1829,7,0.99,0.02860139860139864,100_new_2
772,7,0.5,1.8181818181818181,100_new_2
