productID,storeID,quantile_level,mean_quantile_loss,model_type
2265,7,0.5,0.20279720279720279,empirical_quantile
2265,7,0.7,0.28391608391608386,empirical_quantile
2265,7,0.9,0.16433566433566432,empirical_quantile
2265,7,0.95,0.10769230769230775,empirical_quantile
2265,7,0.99,0.025944055944055966,empirical_quantile
535,7,0.5,0.15384615384615385,empirical_quantile
535,7,0.7,0.21538461538461537,empirical_quantile
535,7,0.9,0.12517482517482517,empirical_quantile
535,7,0.95,0.09055944055944058,empirical_quantile
535,7,0.99,0.03090909090909092,empirical_quantile
909,8,0.5,0.19230769230769232,empirical_quantile
909,8,0.7,0.2692307692307693,empirical_quantile
909,8,0.9,0.21048951048951045,empirical_quantile
909,8,0.95,0.1297202797202798,empirical_quantile
909,8,0.99,0.03615384615384619,empirical_quantile
2950,1,0.5,0.055944055944055944,empirical_quantile
2950,1,0.7,0.07832167832167831,empirical_quantile
2950,1,0.9,0.08881118881118878,empirical_quantile
2950,1,0.95,0.04440559440559443,empirical_quantile
2950,1,0.99,0.0188811188811189,empirical_quantile
2828,1,0.5,0.36013986013986016,empirical_quantile
2828,1,0.7,0.427972027972028,empirical_quantile
2828,1,0.9,0.22167832167832166,empirical_quantile
2828,1,0.95,0.15734265734265748,empirical_quantile
2828,1,0.99,0.05146853146853151,empirical_quantile
2581,1,0.5,0.3916083916083916,empirical_quantile
2581,1,0.7,0.3692307692307692,empirical_quantile
2581,1,0.9,0.20909090909090908,empirical_quantile
2581,1,0.95,0.12657342657342668,empirical_quantile
2581,1,0.99,0.03811188811188814,empirical_quantile
1531,1,0.5,0.8846153846153846,empirical_quantile
1531,1,0.7,0.8587412587412586,empirical_quantile
1531,1,0.9,0.43496503496503497,empirical_quantile
1531,1,0.95,0.2510489510489512,empirical_quantile
1531,1,0.99,0.06321678321678327,empirical_quantile
1285,3,0.5,0.3881118881118881,empirical_quantile
1285,3,0.7,0.3811188811188811,empirical_quantile
1285,3,0.9,0.21748251748251748,empirical_quantile
1285,3,0.95,0.11573426573426585,empirical_quantile
1285,3,0.99,0.04034965034965038,empirical_quantile
1369,6,0.5,0.534965034965035,empirical_quantile
1369,6,0.7,0.5146853146853146,empirical_quantile
