productID,storeID,quantile_level,mean_quantile_loss,hp_type
399,1,0.5,0.1853146853146853,0
399,1,0.7,0.23776223776223782,0
399,1,0.9,0.11188811188811186,0
399,1,0.95,0.08041958041958044,0
399,1,0.99,0.05524475524475524,0
2865,1,0.5,0.3986013986013986,0
2865,1,0.7,0.37622377622377623,0
2865,1,0.9,0.3195804195804196,0
2865,1,0.95,0.2867132867132867,0
2865,1,0.99,0.14377622377622376,0
153,1,0.5,0.1993006993006993,0
153,1,0.7,0.2202797202797203,0
153,1,0.9,0.14265734265734265,0
153,1,0.95,0.13216783216783218,0
153,1,0.99,0.12055944055944055,0
1196,1,0.5,0.24825174825174826,0
1196,1,0.7,0.3384615384615384,0
1196,1,0.9,0.27412587412587414,0
1196,1,0.95,0.248951048951049,0
1196,1,0.99,0.2288111888111889,0
2519,7,0.5,0.15034965034965034,0
2519,7,0.7,0.21048951048951045,0
2519,7,0.9,0.14685314685314685,0
2519,7,0.95,0.11188811188811194,0
2519,7,0.99,0.0839160839160839,0
1697,5,0.5,0.13636363636363635,0
1697,5,0.7,0.1909090909090909,0
1697,5,0.9,0.10769230769230768,0
1697,5,0.95,0.07132867132867135,0
1697,5,0.99,0.04223776223776223,0
985,7,0.5,0.48951048951048953,0
985,7,0.7,0.5034965034965035,0
985,7,0.9,0.32377622377622384,0
985,7,0.95,0.27727272727272734,0
985,7,0.99,0.2400699300699301,0
1205,7,0.5,0.17132867132867133,0
1205,7,0.7,0.23986013986013985,0
1205,7,0.9,0.10769230769230768,0
1205,7,0.95,0.07482517482517484,0
1205,7,0.99,0.04853146853146853,0
2451,1,0.5,0.3741258741258741,0
2451,1,0.7,0.5258741258741259,0
2451,1,0.9,0.4377622377622378,0
2451,1,0.95,0.42517482517482513,0
2451,1,0.99,0.415104895104895,0
889,1,0.5,0.08741258741258741,0
889,1,0.7,0.12237762237762238,0
889,1,0.9,0.1874125874125874,0
889,1,0.95,0.1461538461538462,0
889,1,0.99,0.11314685314685309,0
833,7,0.5,0.8251748251748252,0
833,7,0.7,1.0769230769230766,0
833,7,0.9,0.8272727272727274,0
833,7,0.95,0.8402097902097901,0
833,7,0.99,0.7754545454545455,0
